timestamp_utc,pcpu,rss_kib,etime
2026-07-16T03:25:14Z,8.9,733388,00:25
2026-07-16T03:25:16Z,8.2,733388,00:27
2026-07-16T03:25:18Z,7.7,733204,00:29
2026-07-16T03:25:20Z,7.3,724268,00:31
2026-07-16T03:25:22Z,6.9,724020,00:33
2026-07-16T03:25:24Z,6.5,724056,00:35
2026-07-16T03:25:26Z,6.2,723956,00:37
2026-07-16T03:25:28Z,5.9,723468,00:39
2026-07-16T03:25:30Z,5.6,723468,00:41
2026-07-16T03:25:32Z,5.3,723468,00:43
2026-07-16T03:25:34Z,5.1,723468,00:45
2026-07-16T03:25:36Z,4.9,724512,00:47
2026-07-16T03:25:38Z,4.7,724468,00:49
2026-07-16T03:25:40Z,4.5,724440,00:51
2026-07-16T03:25:42Z,4.4,724440,00:53
2026-07-16T03:25:44Z,4.2,723688,00:55
2026-07-16T03:25:46Z,4.1,723688,00:57
2026-07-16T03:25:48Z,4.0,723440,00:59
2026-07-16T03:25:50Z,3.9,724508,01:01
2026-07-16T03:25:52Z,3.8,724512,01:03
2026-07-16T03:25:54Z,3.7,724512,01:05
2026-07-16T03:25:56Z,3.6,723556,01:07
2026-07-16T03:25:58Z,3.5,722572,01:09
2026-07-16T03:26:00Z,3.4,723208,01:11
2026-07-16T03:26:02Z,3.3,723308,01:13
2026-07-16T03:26:04Z,3.2,723304,01:15
2026-07-16T03:26:06Z,3.2,723332,01:17
2026-07-16T03:26:08Z,3.1,723276,01:19
2026-07-16T03:26:10Z,3.0,723276,01:21
2026-07-16T03:26:12Z,2.9,722940,01:23
2026-07-16T03:26:14Z,2.9,722840,01:25
2026-07-16T03:26:16Z,2.8,722840,01:27
2026-07-16T03:26:18Z,2.7,722804,01:29
2026-07-16T03:26:20Z,2.8,723240,01:31
2026-07-16T03:26:22Z,2.7,723220,01:33
2026-07-16T03:26:24Z,2.7,723220,01:35
2026-07-16T03:26:26Z,2.6,723220,01:37
2026-07-16T03:26:28Z,2.7,723972,01:39
2026-07-16T03:26:30Z,2.7,723448,01:41
2026-07-16T03:26:32Z,2.6,723456,01:43
2026-07-16T03:26:34Z,2.6,723456,01:45
2026-07-16T03:26:36Z,2.5,723464,01:47
2026-07-16T03:26:38Z,2.5,723464,01:49
2026-07-16T03:26:40Z,2.5,722072,01:51
2026-07-16T03:26:42Z,2.4,722072,01:53
2026-07-16T03:26:44Z,2.4,722088,01:55
2026-07-16T03:26:46Z,2.3,721940,01:57
2026-07-16T03:26:48Z,2.3,721940,01:59
2026-07-16T03:26:50Z,2.3,723296,02:01
2026-07-16T03:26:52Z,2.3,728188,02:03
2026-07-16T03:26:54Z,2.3,727980,02:05
2026-07-16T03:26:56Z,2.2,727460,02:07
2026-07-16T03:26:58Z,2.2,726708,02:09
2026-07-16T03:27:00Z,2.2,726800,02:11
2026-07-16T03:27:02Z,2.1,726800,02:13
2026-07-16T03:27:04Z,2.1,726800,02:15
2026-07-16T03:27:06Z,2.1,725980,02:17
2026-07-16T03:27:08Z,2.1,725576,02:19
2026-07-16T03:27:10Z,2.0,725580,02:21
2026-07-16T03:27:12Z,2.0,725112,02:23
2026-07-16T03:27:14Z,2.0,725112,02:25
2026-07-16T03:27:16Z,2.0,724872,02:27
2026-07-16T03:27:18Z,1.9,726888,02:29
2026-07-16T03:27:20Z,2.0,727316,02:31
2026-07-16T03:27:22Z,2.0,727316,02:33
2026-07-16T03:27:24Z,1.9,727316,02:35
2026-07-16T03:27:26Z,1.9,727316,02:37
2026-07-16T03:27:28Z,1.9,727316,02:39
2026-07-16T03:27:30Z,1.9,727320,02:41
2026-07-16T03:27:32Z,1.8,724300,02:43
2026-07-16T03:27:34Z,1.8,724300,02:45
2026-07-16T03:27:36Z,1.8,724332,02:47
2026-07-16T03:27:38Z,1.8,724536,02:49
2026-07-16T03:27:40Z,1.8,724512,02:51
2026-07-16T03:27:42Z,1.8,724512,02:53
2026-07-16T03:27:44Z,1.7,722948,02:55
2026-07-16T03:27:46Z,1.7,722948,02:57
2026-07-16T03:27:48Z,1.7,722880,02:59
2026-07-16T03:27:50Z,1.7,723428,03:01
2026-07-16T03:27:52Z,1.7,723448,03:03
2026-07-16T03:27:54Z,1.7,723448,03:05
2026-07-16T03:27:56Z,1.7,722768,03:07
2026-07-16T03:27:58Z,1.7,722768,03:09
2026-07-16T03:28:00Z,1.6,724888,03:11
2026-07-16T03:28:02Z,1.6,724240,03:13
2026-07-16T03:28:04Z,1.6,723564,03:15
2026-07-16T03:28:06Z,1.6,723596,03:17
2026-07-16T03:28:08Z,1.6,723596,03:19
2026-07-16T03:28:10Z,1.6,725600,03:21
2026-07-16T03:28:12Z,1.6,725600,03:23
2026-07-16T03:28:14Z,1.5,725592,03:25
2026-07-16T03:28:16Z,1.5,725544,03:27
2026-07-16T03:28:18Z,1.5,725544,03:29
2026-07-16T03:28:20Z,1.5,724776,03:31
2026-07-16T03:28:22Z,1.5,724212,03:33
2026-07-16T03:28:24Z,1.5,723732,03:35
2026-07-16T03:28:26Z,1.5,723452,03:37
2026-07-16T03:28:28Z,1.5,722436,03:39
2026-07-16T03:28:30Z,1.5,722012,03:41
2026-07-16T03:28:32Z,1.5,721836,03:43
2026-07-16T03:28:34Z,1.5,726132,03:45
2026-07-16T03:28:36Z,1.4,726404,03:47
2026-07-16T03:28:38Z,1.4,726304,03:49
2026-07-16T03:28:40Z,1.4,725436,03:51
2026-07-16T03:28:42Z,1.4,724936,03:53
2026-07-16T03:28:44Z,1.4,724936,03:55
2026-07-16T03:28:46Z,1.4,724936,03:57
2026-07-16T03:28:48Z,1.4,724740,03:59
2026-07-16T03:28:50Z,1.4,725468,04:02
2026-07-16T03:28:52Z,1.4,725468,04:04
2026-07-16T03:28:54Z,1.4,725376,04:06
2026-07-16T03:28:56Z,1.4,724980,04:08
2026-07-16T03:28:58Z,1.4,724980,04:10
2026-07-16T03:29:00Z,1.4,723608,04:12
2026-07-16T03:29:02Z,1.3,723608,04:14
2026-07-16T03:29:04Z,1.3,723328,04:16
2026-07-16T03:29:06Z,1.3,723328,04:18
2026-07-16T03:29:08Z,1.3,722768,04:20
2026-07-16T03:29:10Z,1.3,722768,04:22
2026-07-16T03:29:12Z,1.3,722768,04:24
2026-07-16T03:29:14Z,1.3,723492,04:26
2026-07-16T03:29:16Z,1.3,723492,04:28
2026-07-16T03:29:18Z,1.3,723492,04:30
2026-07-16T03:29:20Z,1.3,724152,04:32
2026-07-16T03:29:22Z,1.3,724152,04:34
2026-07-16T03:29:24Z,1.3,724152,04:36
2026-07-16T03:29:26Z,1.3,723664,04:38
2026-07-16T03:29:28Z,1.3,723664,04:40
2026-07-16T03:29:30Z,1.3,723664,04:42
2026-07-16T03:29:32Z,1.3,722912,04:44
2026-07-16T03:29:34Z,1.2,722912,04:46
2026-07-16T03:29:36Z,1.2,722356,04:48
2026-07-16T03:29:38Z,1.2,722360,04:50
2026-07-16T03:29:40Z,1.2,731864,04:52
2026-07-16T03:29:42Z,1.2,731864,04:54
2026-07-16T03:29:44Z,1.2,729496,04:56
2026-07-16T03:29:46Z,1.2,728236,04:58
2026-07-16T03:29:48Z,1.2,728236,05:00
2026-07-16T03:29:50Z,1.2,730132,05:02
2026-07-16T03:29:52Z,1.3,729944,05:04
2026-07-16T03:29:54Z,1.3,729944,05:06
2026-07-16T03:29:56Z,1.2,729944,05:08
2026-07-16T03:29:58Z,1.2,729944,05:10
2026-07-16T03:30:00Z,1.2,732120,05:12
2026-07-16T03:30:02Z,1.2,726776,05:14
