timestamp_utc,pcpu,rss_kib,etime
2026-07-14T23:51:39Z,11.8,650648,00:29
2026-07-14T23:51:41Z,11.4,657308,00:31
2026-07-14T23:51:43Z,11.1,658560,00:33
2026-07-14T23:51:45Z,10.6,658056,00:35
2026-07-14T23:51:47Z,10.2,656300,00:37
2026-07-14T23:51:49Z,9.8,654128,00:39
2026-07-14T23:51:51Z,9.6,651452,00:41
2026-07-14T23:51:53Z,9.3,649448,00:43
2026-07-14T23:51:55Z,9.1,649240,00:45
2026-07-14T23:51:57Z,8.9,651636,00:47
2026-07-14T23:51:59Z,8.7,651032,00:49
2026-07-14T23:52:01Z,8.5,650540,00:51
2026-07-14T23:52:03Z,8.3,647044,00:53
2026-07-14T23:52:05Z,8.1,645812,00:55
2026-07-14T23:52:07Z,8.0,644024,00:57
2026-07-14T23:52:09Z,7.8,642608,00:59
2026-07-14T23:52:11Z,7.8,643808,01:01
2026-07-14T23:52:13Z,7.6,642016,01:03
2026-07-14T23:52:15Z,7.5,641668,01:05
2026-07-14T23:52:17Z,7.3,641220,01:07
2026-07-14T23:52:19Z,7.2,641020,01:09
2026-07-14T23:52:21Z,7.1,640588,01:11
2026-07-14T23:52:23Z,7.0,640880,01:13
2026-07-14T23:52:25Z,7.0,641416,01:15
2026-07-14T23:52:27Z,6.9,641088,01:17
2026-07-14T23:52:29Z,6.8,640840,01:19
2026-07-14T23:52:31Z,6.6,640672,01:21
2026-07-14T23:52:33Z,6.4,640352,01:23
2026-07-14T23:52:35Z,6.3,640352,01:25
2026-07-14T23:52:37Z,6.2,642344,01:27
2026-07-14T23:52:39Z,6.0,641976,01:29
2026-07-14T23:52:41Z,5.9,641616,01:31
2026-07-14T23:52:43Z,5.8,633552,01:33
2026-07-14T23:52:45Z,5.7,633408,01:35
2026-07-14T23:52:47Z,5.6,633408,01:37
2026-07-14T23:52:49Z,5.5,633408,01:39
2026-07-14T23:52:51Z,5.4,634404,01:41
2026-07-14T23:52:53Z,5.3,634304,01:43
2026-07-14T23:52:55Z,5.2,634044,01:45
2026-07-14T23:52:57Z,5.1,633884,01:47
2026-07-14T23:52:59Z,5.0,633528,01:49
2026-07-14T23:53:01Z,4.9,637344,01:51
2026-07-14T23:53:03Z,4.9,637364,01:53
2026-07-14T23:53:05Z,4.8,636756,01:55
2026-07-14T23:53:07Z,4.7,636756,01:57
2026-07-14T23:53:09Z,4.6,636024,01:59
2026-07-14T23:53:11Z,4.6,636364,02:01
2026-07-14T23:53:13Z,4.5,636348,02:03
2026-07-14T23:53:15Z,4.4,636348,02:05
2026-07-14T23:53:17Z,4.4,642068,02:08
2026-07-14T23:53:19Z,4.3,642068,02:10
2026-07-14T23:53:21Z,4.3,641580,02:12
2026-07-14T23:53:23Z,4.2,640848,02:14
2026-07-14T23:53:25Z,4.1,640848,02:16
2026-07-14T23:53:27Z,4.1,640848,02:18
2026-07-14T23:53:29Z,4.0,637668,02:20
2026-07-14T23:53:31Z,4.0,637668,02:22
2026-07-14T23:53:33Z,3.9,637216,02:24
2026-07-14T23:53:35Z,3.9,637240,02:26
2026-07-14T23:53:37Z,3.8,637216,02:28
2026-07-14T23:53:39Z,3.8,637184,02:30
2026-07-14T23:53:41Z,3.8,639160,02:32
2026-07-14T23:53:43Z,3.7,638992,02:34
2026-07-14T23:53:45Z,3.7,638992,02:36
2026-07-14T23:53:47Z,3.6,637460,02:38
2026-07-14T23:53:49Z,3.6,637460,02:40
2026-07-14T23:53:51Z,3.5,636432,02:42
2026-07-14T23:53:53Z,3.5,636432,02:44
2026-07-14T23:53:55Z,3.5,633296,02:46
2026-07-14T23:53:57Z,3.4,642768,02:48
2026-07-14T23:53:59Z,3.4,642772,02:50
2026-07-14T23:54:01Z,3.4,642776,02:52
2026-07-14T23:54:03Z,3.3,642092,02:54
2026-07-14T23:54:05Z,3.3,640260,02:56
2026-07-14T23:54:07Z,3.3,640260,02:58
2026-07-14T23:54:09Z,3.2,639964,03:00
2026-07-14T23:54:11Z,3.3,642012,03:02
2026-07-14T23:54:13Z,3.2,642012,03:04
2026-07-14T23:54:15Z,3.2,642012,03:06
2026-07-14T23:54:17Z,3.2,639504,03:08
2026-07-14T23:54:19Z,3.1,637952,03:10
2026-07-14T23:54:21Z,3.1,637952,03:12
2026-07-14T23:54:23Z,3.1,639192,03:14
2026-07-14T23:54:25Z,3.1,639156,03:16
2026-07-14T23:54:27Z,3.0,639156,03:18
2026-07-14T23:54:29Z,3.0,639156,03:20
2026-07-14T23:54:31Z,3.0,639156,03:22
2026-07-14T23:54:33Z,2.9,638252,03:24
2026-07-14T23:54:35Z,2.9,636984,03:26
